car_key,number_plate,purchase_year,policy_type
CAR-001,LHR-254,2017,Premium
CAR-002,ABC-174,2024,Premium
CAR-003,ABC-474,2020,Basic
CAR-004,SND-319,2011,Basic
CAR-005,ISB-528,2012,Basic
CAR-006,ABC-664,2017,Basic
CAR-007,SND-226,2014,Premium
CAR-008,PSH-696,2011,Premium
CAR-009,SND-506,2011,Basic
CAR-010,ABC-670,2024,Basic
CAR-011,LHR-529,2013,Premium
CAR-012,ABC-684,2015,Premium
CAR-013,PSH-285,2012,Premium
CAR-014,SND-754,2014,Standard
CAR-015,ABC-660,2022,Basic
CAR-016,SND-161,2020,Basic
CAR-017,ISB-796,2019,Standard
CAR-018,LHR-576,2020,Standard
CAR-019,LHR-406,2014,Basic
CAR-020,PSH-898,2014,Basic
CAR-021,SND-407,2019,Standard
CAR-022,LHR-846,2018,Standard
CAR-023,SND-174,2012,Premium
CAR-024,ISB-268,2023,Standard
CAR-025,KHI-600,2017,Basic
CAR-026,PSH-179,2023,Premium
CAR-027,SND-908,2025,Standard
CAR-028,LHR-811,2016,Premium
CAR-029,ISB-693,2023,Standard
CAR-030,ABC-960,2012,Standard
CAR-031,ISB-813,2021,Basic
CAR-032,ABC-848,2022,Standard
CAR-033,PSH-691,2021,Standard
CAR-034,LHR-833,2017,Premium
CAR-035,LHR-123,2018,Standard
CAR-036,KHI-725,2012,Standard
CAR-037,ABC-323,2023,Standard
CAR-038,KHI-856,2014,Standard
CAR-039,ISB-992,2018,Basic
CAR-040,KHI-559,2017,Premium
CAR-041,LHR-240,2024,Standard
CAR-042,SND-385,2022,Standard
CAR-043,LHR-799,2025,Standard
CAR-044,KHI-254,2012,Basic
CAR-045,KHI-337,2021,Basic
CAR-046,ABC-596,2024,Premium
CAR-047,KHI-369,2015,Basic
CAR-048,KHI-529,2019,Standard
CAR-049,SND-679,2016,Basic
CAR-050,PSH-979,2019,Premium
